u-g,g-r,r-i,i-z,class
1.0499790000000004,0.3457490000000014,0.1010850000000012,0.06739799999999718,star
1.7968050000000027,0.7002409999999983,0.2611120000000007,0.10839999999999961,star
0.4250000000000007,0.27199999999999847,0.047999999999998266,0.22000000000000242,qso
1.3100300000000011,0.5370099999999987,0.18374700000000033,0.07510500000000064,star
0.24399999999999977,0.021999999999998465,0.1620000000000026,0.21599999999999753,qso
0.4190000000000005,-0.028999999999999915,-0.0940000000000012,-0.125,wd
1.2046720000000004,0.40295399999999937,0.1817890000000002,0.06156200000000034,star
0.2699999999999996,0.06799999999999784,0.23400000000000176,0.17599999999999838,qso
0.379999999999999,0.39000000000000057,0.07199999999999918,0.46799999999999997,qso
0.5700000000000003,0.29199999999999804,0.25900000000000034,0.12100000000000222,qso
0.10099999999999909,0.1960000000000015,0.0010000000000012221,-0.0730000000000004,qso
0.11200000000000188,-0.32500000000000284,-0.33999999999999986,-0.3089999999999975,wd
0.27500000000000213,-0.04299999999999926,-0.08800000000000097,-0.4510000000000005,wd
1.0679180000000006,0.407665999999999,0.10512699999999953,0.04607700000000037,star
2.402006,1.0222650000000009,0.367243000000002,0.16600299999999812,star
-0.35800000000000054,-0.39000000000000057,-0.3249999999999993,-0.29299999999999926,wd
0.45800000000000196,0.32099999999999795,0.18599999999999994,0.15500000000000114,qso
1.4867109999999997,0.6078060000000001,0.24446999999999974,0.1425459999999994,star
1.0812460000000002,0.3897970000000015,0.1541940000000004,0.03815999999999775,star
0.40000000000000213,0.0799999999999983,-0.00999999999999801,-0.2190000000000012,wd
0.861896999999999,0.17797600000000102,0.19072399999999945,-0.039761000000002156,star
0.013000000000001677,0.13799999999999812,0.21199999999999974,0.1650000000000027,qso
0.477999999999998,-0.1460000000000008,-0.06400000000000006,-0.19099999999999895,wd
-0.02800000000000047,-0.34499999999999886,-0.33000000000000007,-0.3070000000000004,wd
-0.07900000000000063,0.23700000000000188,0.09099999999999753,-0.04099999999999682,qso
0.9529870000000003,0.4288540000000012,0.1755559999999985,0.05436500000000066,star
1.2469780000000021,0.4365239999999986,0.09207500000000124,0.1769319999999972,star
1.0066489999999995,0.3372250000000001,0.12988400000000055,-0.003271000000001578,star
0.14899999999999736,0.012000000000000455,0.17999999999999972,0.06500000000000128,qso
0.5229999999999997,-0.07600000000000051,0.11700000000000088,0.20899999999999963,qso
0.4159999999999968,-0.04999999999999716,-0.13200000000000145,-0.36400000000000077,wd
1.019762,0.26806200000000047,0.0707330000000006,0.012460000000000804,star
0.4759999999999991,0.34699999999999775,1.0290000000000035,0.8789999999999978,wd
0.2789999999999999,0.0329999999999977,0.18900000000000006,0.4720000000000013,qso
1.3188060000000021,0.5284480000000009,0.18614299999999773,0.058400999999999925,star
0.008000000000002672,-0.3030000000000008,-0.3760000000000012,-0.07900000000000063,wd
0.8832450000000023,0.33039099999999877,0.11323700000000159,0.02113599999999849,star
0.24399999999999977,0.22500000000000142,0.08200000000000074,0.030999999999998806,qso
0.2619999999999969,0.03400000000000247,0.3819999999999979,-0.05299999999999727,qso
0.15899999999999892,-0.07099999999999795,-0.12300000000000111,-0.18900000000000006,wd
1.4834890000000023,0.5062099999999994,0.19007500000000022,0.08423999999999765,star
1.004847999999999,0.23073199999999972,0.06087300000000084,-0.009641000000002009,star
0.4319999999999986,0.2940000000000005,0.028000000000002245,0.10899999999999821,qso
1.036009,0.30836299999999994,0.14563400000000115,0.009578999999998672,star
0.08899999999999864,-0.05099999999999838,-0.036999999999999034,0.3260000000000005,qso
0.5399999999999991,0.2170000000000023,0.053999999999998494,0.2560000000000002,qso
0.06099999999999994,-0.33999999999999986,-0.31599999999999895,-0.28699999999999903,wd
1.1898610000000005,0.4191869999999991,0.11611000000000082,0.056381000000000014,star
2.486303999999997,1.2815380000000012,0.5760050000000003,0.34584300000000034,star
2.5881390000000017,1.1424199999999978,0.4245099999999997,0.20973000000000042,star
0.16399999999999793,-0.3689999999999998,-0.24599999999999866,-0.24399999999999977,wd
0.19200000000000017,0.41999999999999815,0.21199999999999974,0.5640000000000001,qso
2.2090619999999994,1.039994,0.5140799999999999,0.03601199999999949,star
0.3569999999999993,-0.15899999999999892,-0.10200000000000031,-0.30799999999999983,wd
2.620796000000002,1.4030559999999994,0.7543869999999995,0.42993200000000087,star
0.125,0.2660000000000018,-0.004000000000001336,0.022999999999999687,qso
0.0710000000000015,0.030000000000001137,0.13899999999999935,0.27199999999999847,qso
1.1891999999999996,0.4456369999999996,0.15389799999999987,0.07081699999999991,star
0.3990000000000009,-0.04100000000000037,0.11700000000000088,0.03999999999999915,qso
1.5268230000000003,0.5685010000000013,0.1999050000000011,0.11283499999999691,star
